22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: opposite: Feature.featuringClassifier->Classifier.feature
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: RedefinableElement.isLeaf (required=true)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: RedefinableElement.redefinedElement (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: RedefinableElement.redefinitionContext (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: NamedElement.name (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: NamedElement.visibility (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: NamedElement.qualifiedName (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: NamedElement.namespace (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: opposite: NamedElement.namespace->Namespace.ownedMember
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: Element.ownedElement (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: opposite: Element.ownedElement->Element.owner
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: Element.owner (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: opposite: Element.owner->Element.ownedElement
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: Element.ownedComment (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: TypedElement.type (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: NamedElement.name (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: NamedElement.visibility (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: NamedElement.qualifiedName (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: NamedElement.namespace (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: opposite: NamedElement.namespace->Namespace.ownedMember
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: Element.ownedElement (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: opposite: Element.ownedElement->Element.owner
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: Element.owner (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: opposite: Element.owner->Element.ownedElement
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: Element.ownedComment (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: MultiplicityElement.isOrdered (required=true)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: MultiplicityElement.isUnique (required=true)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: MultiplicityElement.upper (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: MultiplicityElement.lower (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: MultiplicityElement.upperValue (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: MultiplicityElement.lowerValue (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: Element.ownedElement (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: opposite: Element.ownedElement->Element.owner
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: Element.owner (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: opposite: Element.owner->Element.ownedElement
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase Property: Element.ownedComment (required=false)
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase done
22 Nov 2012 10:03:20,298 INFO  [main] model.ModelTestCase testObjectNode
22 Nov 2012 10:03:20,314 INFO  [main] model.ModelTestCase done
22 Nov 2012 10:03:20,314 INFO  [main] model.ModelTestCase testExpansionRegion
22 Nov 2012 10:03:20,314 INFO  [main] model.ModelTestCase done
22 Nov 2012 10:03:20,314 INFO  [main] model.ModelTestCase testClass
22 Nov 2012 10:03:20,314 INFO  [main] model.ModelTestCase Package.ownedType->Type.package
22 Nov 2012 10:03:20,314 INFO  [main] model.ModelTestCase Package.nestedPackage->Package.nestingPackage
22 Nov 2012 10:03:20,314 INFO  [main] model.ModelTestCase Package.nestingPackage->Package.nestedPackage
22 Nov 2012 10:03:20,314 INFO  [main] model.ModelTestCase Namespace.ownedMember->NamedElement.namespace
22 Nov 2012 10:03:20,314 INFO  [main] model.ModelTestCase Namespace.elementImport->ElementImport.importingNamespace
22 Nov 2012 10:03:20,314 INFO  [main] model.ModelTestCase Namespace.packageImport->PackageImport.importingNamespace
22 Nov 2012 10:03:20,314 INFO  [main] model.ModelTestCase NamedElement.namespace->Namespace.ownedMember
22 Nov 2012 10:03:20,314 INFO  [main] model.ModelTestCase Element.ownedElement->Element.owner
22 Nov 2012 10:03:20,314 INFO  [main] model.ModelTestCase Element.owner->Element.ownedElement
22 Nov 2012 10:03:20,314 INFO  [main] model.ModelTestCase NamedElement.namespace->Namespace.ownedMember
22 Nov 2012 10:03:20,314 INFO  [main] model.ModelTestCase Element.ownedElement->Element.owner
22 Nov 2012 10:03:20,314 INFO  [main] model.ModelTestCase Element.owner->Element.ownedElement
22 Nov 2012 10:03:20,314 INFO  [main] model.ModelTestCase done
22 Nov 2012 10:03:20,626 INFO  [main] model.ProfileTestCase testExtension
22 Nov 2012 10:03:21,048 INFO  [main] fuml.Fuml loading artifact, Plasma_SDO_Profile.mdxml
22 Nov 2012 10:03:21,048 INFO  [main] io.ArtifactLoader reading Plasma_SDO_Profile.mdxml
22 Nov 2012 10:03:21,111 INFO  [main] config.FumlConfiguration initializing...
22 Nov 2012 10:03:21,111 INFO  [main] config.FumlConfigDataBinding loading schema chain...
22 Nov 2012 10:03:21,173 INFO  [main] config.FumlConfiguration loading configuration, fuml-config.xml
22 Nov 2012 10:03:21,173 FATAL [main] bind.DefaultValidationEventHandler Line:Col:Offset[131:21:-1] - cvc-complex-type.2.4.b: The content of element 'cfg:Configuration' is not complete. One of '{LibraryConfiguration}' is expected.
22 Nov 2012 10:03:21,267 INFO  [main] model.InMemoryRepository initializing...
22 Nov 2012 10:03:21,267 INFO  [main] repository.RepositoryConfigDataBinding loading schema chain...
22 Nov 2012 10:03:21,361 INFO  [main] model.InfrastructureAssembler initializing...
22 Nov 2012 10:03:21,439 INFO  [main] model.SuperstructureAssembler initializing...
22 Nov 2012 10:03:21,501 INFO  [main] model.fUML_SyntaxAssembler initializing...
22 Nov 2012 10:03:21,501 INFO  [main] model.InMemoryRepository performing package merge...
22 Nov 2012 10:03:21,533 INFO  [main] model.InMemoryRepository cacheing classifier attributes and operations...
22 Nov 2012 10:03:21,564 INFO  [main] library.Library initializing...
22 Nov 2012 10:03:21,954 INFO  [main] fuml.Fuml loading artifact, plasma-platform-common.mdxml
22 Nov 2012 10:03:21,954 INFO  [main] io.ArtifactLoader reading plasma-platform-common.mdxml
22 Nov 2012 10:03:22,032 INFO  [main] fuml.Fuml loading artifact, plasma-platform-personalization.mdxml
22 Nov 2012 10:03:22,032 INFO  [main] io.ArtifactLoader reading plasma-platform-personalization.mdxml
22 Nov 2012 10:03:22,282 INFO  [main] fuml.Fuml loading artifact, plasma-platform-categorization.mdxml
22 Nov 2012 10:03:22,282 INFO  [main] io.ArtifactLoader reading plasma-platform-categorization.mdxml
22 Nov 2012 10:03:22,407 INFO  [main] fuml.Fuml loading artifact, examples-categorization.mdxml
22 Nov 2012 10:03:22,407 INFO  [main] io.ArtifactLoader reading examples-categorization.mdxml
22 Nov 2012 10:03:22,454 INFO  [main] fuml.Fuml loading artifact, plasma-platform-uml.mdxml
22 Nov 2012 10:03:22,454 INFO  [main] io.ArtifactLoader reading plasma-platform-uml.mdxml
22 Nov 2012 10:03:22,767 INFO  [main] model.ProfileTestCase ----------------------------
22 Nov 2012 10:03:22,767 INFO  [main] model.ProfileTestCase properties for Extension
22 Nov 2012 10:03:22,767 INFO  [main] model.ProfileTestCase Extension.isRequired (required=true)
22 Nov 2012 10:03:22,767 INFO  [main] model.ProfileTestCase Extension.metaclass (required=true)
22 Nov 2012 10:03:22,767 INFO  [main] model.ProfileTestCase opposite: Extension.metaclass->Class.extension
22 Nov 2012 10:03:22,767 INFO  [main] model.ProfileTestCase Extension.ownedEnd (required=true)
22 Nov 2012 10:03:22,767 INFO  [main] model.ProfileTestCase Association.isDerived (required=true)
22 Nov 2012 10:03:22,767 INFO  [main] model.ProfileTestCase Association.ownedEnd (required=false)
22 Nov 2012 10:03:22,767 INFO  [main] model.ProfileTestCase opposite: Association.ownedEnd->Property.owningAssociation
22 Nov 2012 10:03:22,767 INFO  [main] model.ProfileTestCase Association.endType (required=true)
22 Nov 2012 10:03:22,767 INFO  [main] model.ProfileTestCase Association.memberEnd (required=true)
22 Nov 2012 10:03:22,767 INFO  [main] model.ProfileTestCase opposite: Association.memberEnd->Property.association
22 Nov 2012 10:03:22,767 INFO  [main] model.ProfileTestCase Association.navigableOwnedEnd (required=false)
